Country,Code,Cluster,WB_Human_Pop2015,UrbanPC,HDI,UrbanDogs,RuralDogs,TotalDogs,VaxEndemic,CurrantUnvax,Vax_to_reach_goal
Somalia ,SOM,North Africa ,10787104,40,0.28,201246,881175,1082421,1082,1081338,756612
South Africa ,ZAF,SADC ,54956920,65,0.62,1679841,2614093,4293934,2705178,1588756,300575
Spain ,ESP,EU ,46418269,80,0.88,5682953,1458319,7141272,0,2142382,0
Sri Lanka ,LKA,Asia 4 ,20966000,18,0.69,513136,1197027,1710163,843110,867052,354004
Sudan ,SDN,North Africa ,52574694,34,0.41,838368,4702877,5541245,11082,5530163,3867789
Suriname ,SUR,CA & Mex* ,542975,66,0.68,47813,24584,72397,49230,23167,1448
Swaziland ,SWZ,SADC ,1286970,21,0.52,12935,136857,149792,749,149043,104106
Sweden ,SWE,EU ,9798871,86,0.9,1293677,213842,1507519,0,452256,0
Switzerland ,CHE,EU ,8286976,74,0.9,942318,332601,1274919,0,382476,0
Syrian Arab Republic ,SYR,Middle East ,18502413,58,0.63,1422367,547878,1970245,364495,1605750,1014676
Tajikistan ,TJK,Eurasia ,8481855,27,0.61,302881,434283,737164,108435,628729,407580
Thailand ,THA,Asia 4 ,67959359,50,0.68,4564513,2358427,6922940,3426855,3496085,1419203
Macedoniag ,MKD,EasternEurope ,2078453,76,0.73,242699,77063,319762,149329,170433,74505
Timor-Leste ,TLS,Indonesia ,1245015,33,0.5,54399,58533,112932,0,86054,52175
Togo ,TGO,West Africa ,7304578,40,0.44,137698,592618,730317,60312,670004,450909
Tonga ,TON,Oceania ,106170,24,0.7,3357,5664,9021,0,2706,0
Trinidad and Tobago ,TTO,Caribbean ,1360088,8,0.76,15315,166030,181345,0,81424,27020
Tunisia ,TUN,North Africa ,11107800,67,0.7,350221,497720,847940,410827,437113,182731
Turkey ,TUR,EasternEurope ,78665830,73,0.7,8882824,3219611,12102435,5651837,6450598,2819867
Turkmenistan ,TKM,Eurasia ,5373502,50,0.69,358499,187746,546244,115258,430987,267113
Tuvalu ,TUV,Oceania ,9916,60,0.58,790,279,1069,0,321,0
Uganda ,UGA,SADC ,39032383,16,0.45,296444,4425376,4721819,472182,4249637,2833091
Ukraine ,UKR,EasternEurope ,45198200,70,0.73,4846290,2107279,6953569,3247317,3706252,1620182
U. Arab Emirates ,ARE,Middle East ,9156963,86,0.85,1044394,92588,1136982,210342,926640,585546
United Kingdom ,GBR,EU ,65138232,83,0.86,8276764,1744502,10021266,0,3006380,0
Tanzaniah ,TZA,SADC ,53470420,32,0.47,797214,4941823,5739037,28695,5710341,3988630
USAi ,USA,NorthAmerica ,321418820,82,0.91,34977653,7878190,42855843,0,9974122,0
Uruguay ,URY,Southern Cone ,3431555,95,0.78,436087,21454,457541,0,161054,23792
Uzbekistan ,UZB,Eurasia ,31299500,36,0.64,1517608,1392828,2910436,1173892,1736544,863413
Vanuatu ,VUT,Oceania ,264652,26,0.62,9220,13672,22891,0,6867,0
Venezuela ,VEN,Andean ,31108083,89,0.74,3691078,456667,4147744,853144,3294600,2050277
Viet Nam ,VNM,Asia 2 ,91703800,34,0.59,4107474,4258583,8366058,2091514,6274543,3764726
Yemen ,YEM,Middle East ,26832215,35,0.46,1238074,1227039,2465113,456046,2009067,1269533
Zambia ,ZMB,SADC ,16211767,41,0.43,312933,1294269,1607202,321440,1285761,803601
Zimbabwe ,ZWE,SADC ,15602751,32,0.38,238281,1425838,1664119,185589,1478529,979294
