2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,code,country
67106.65438776696,69137.19743233749,71208.60696229585,73320.19505891361,75472.26554743444,77665.12026298023,79898.70414551771,82172.57804152888,84485.8032769532,86837.08892619227,COD,Democratic Republic of the Congo
509.1786256670982,515.670031837142,522.0562788673278,528.3339900880271,534.4886940579751,540.5136374379147,546.3982078375852,552.138063824607,557.7307934921026,563.1619253988073,DJI,Djibouti
4083.030135425292,4170.8855865660225,4259.811152386508,4349.652582122102,4440.529006943714,4532.582282465268,4625.930162618699,4720.560252253279,4816.37683326059,4913.323438842854,ERI,Eritrea
115705.46757240423,118230.0431301409,120758.58685364248,123289.55759844474,125821.62139339629,128353.81080474575,130884.95403773621,133413.6008791765,135937.8305231008,138455.4221840859,ETH,Ethiopia
1369.5220194159974,1407.102187173006,1445.167628852381,1483.7023288131215,1522.6860005766243,1562.0988915189864,1601.9201813069049,1642.1354558634782,1682.707879214401,1723.6139617528697,GMB,Gambia
37429.27657465889,37277.071343602,37126.637865154786,36971.989173081245,36813.767771075,36652.79139110974,36489.82909063693,36325.095037554434,36159.02730256246,35992.03475164785,GEO,Georgia
52941.17055099478,53980.50528759645,55025.16819386683,56075.240312649104,57131.21584637896,58193.66686218458,59263.00651965851,60339.27136753399,61422.159481493305,62511.267236396096,GHA,Ghana
7605.619062351032,7798.2695276155855,7994.1663579971,8193.04680721899,8394.855928341294,8599.583231493643,8807.185258641706,9017.56710143462,9230.612372263176,9446.22116760016,GIN,Guinea
1280.3607677206612,1308.9617272837918,1337.766458101133,1366.781966634148,1396.0269367800713,1425.5416556923142,1455.3471427552656,1485.4398947381935,1515.8315890768695,1546.5210580277162,GNB,Guinea Bissau
4229.09590175089,4247.895633815992,4265.505642106694,4281.894480179617,4297.056906960866,4311.066297484987,4323.791624904578,4335.40060358431,4345.720278085618,4354.750648408498,GUY,Guyana
29756.782063969404,30054.684908084353,30346.672623255774,30632.73267211834,30912.646904516037,31186.340096257125,31453.651769065902,31714.42896708583,31968.49616720286,32215.612652003434,HTI,Haiti
55362.312004226005,56137.150101674575,56902.70972983337,57658.25526932004,58402.87927724689,59135.60987691166,59855.528886457585,60562.120835368536,61254.907839520245,61933.3636894275,HND,Honduras
2945667.8113515186,2972682.3507664637,2999089.7076776633,3024859.041992071,3049947.6317244694,3074308.8113217745,3097902.307660224,3120709.064256885,3142710.671652417,3163870.820766359,IND,India
551039.1640632944,555672.7809011919,560170.7555351154,564533.6929095072,568763.4215177298,572863.0558479433,576834.4965965569,580678.0364786227,584391.542577124,587971.7755121442,IDN,Indonesia
20571.39025978317,21077.585570126896,21592.86776878734,22117.26748492477,22650.868770653433,23193.8639486076,23746.364850837577,24308.31093132888,24879.577536522247,25460.062806652106,CIV,Ivory Coast
116158.48331725298,118811.30168175494,121491.67110858744,124197.91020753061,126928.43847177795,129681.16108692618,132453.97334804144,135245.518274311,138054.03930748178,140876.55939781174,KEN,Kenya
11401.255039265472,11521.7025680564,11638.542591435069,11751.857961200421,11862.306313506553,11970.745509688342,12077.865981403638,12183.942175236436,12289.04313435253,12393.443305335904,KGZ,Kyrgyzstan
16502.885498178082,16698.276465416482,16890.19198678945,17077.879194930658,17261.28118707406,17440.37170040454,17615.122283539065,17785.41037667383,17951.148437091822,18112.222659260915,LAO,Lao People's Democratic Republic
4042.656055356906,4089.9008585503548,4136.979832318764,4183.879710308134,4230.721547998741,4277.641325519115,4324.760098349535,4372.140881671516,4419.757142777051,4467.683504907409,LSO,Lesotho
3811.063422348024,3904.552554464216,3999.64881968822,4096.335977517053,4194.5497426264,4294.233273255817,4395.3412313344725,4497.816098414301,4601.612536424467,4706.684530606519,LBR,Liberia
60971.56426354383,62533.6734448632,64118.32050107792,65724.58430350383,67350.89258076614,68995.44079412804,70656.80953193177,72333.97642074557,74026.47295546278,75733.79688272766,MDG,Madagascar
30976.514894538166,31829.22273761931,32700.245505596475,33588.78600560609,34493.35240674915,35411.972921531255,36343.03402065737,37285.83149430809,38240.27509423472,39206.174752155865,MWI,Malawi
11257.817655604606,11588.332037563963,11926.838288565366,12273.089593629138,12626.907752339937,12988.031140819317,13356.201096968558,13731.22757325332,14112.893372491479,14500.858383641036,MLI,Mali
3179.6993526816295,3257.1696467908514,3335.225625319265,3413.8901383776847,3493.21129146255,3573.236588751599,3654.014135741277,3735.5397232006435,3817.797115524648,3900.763462602482,MRT,Mauritania
15728.645347972088,15894.70485434928,16054.289231289446,16207.618053888953,16355.284642088982,16497.87764402019,16636.125862130015,16770.239527893697,16900.634432451123,17028.09543997648,MNG,Mongolia
26358.629828574063,27090.6238346869,27837.8556880005,28600.11153167575,29377.259986084537,30169.120039294794,30975.45009876816,31796.04652608106,32630.56773420038,33478.39404921353,MOZ,Mozambique
96848.08595737367,97564.0572864612,98263.38838915506,98943.22259626667,99601.20473895033,100234.48157122807,100840.71161709627,101418.78746794803,101968.07240662453,102487.57883688729,MMR,Myanmar
53145.886250431366,53650.05541631709,54139.571560827724,54613.922022149716,55071.776240510386,55511.933507977934,55933.44776113986,56335.59722612708,56718.13569035807,57081.449336580525,NPL,Nepal
30306.61880656338,30593.132467549007,30882.459051121048,31173.19891243843,31462.37553406321,31745.830880185124,32020.47937013182,32285.20310575106,32540.429251377427,32786.78037630713,NIC,Nicaragua
13016.804941537048,13514.750510232341,14029.66888173146,14561.823578562118,15111.436759045742,15678.709667017438,16263.820307994161,16866.93460356744,17488.198025608835,18127.768129915356,NER,Niger
209769.73545928445,215041.15594875615,220418.10209379494,225900.7772565964,231490.2516192132,237187.42328799376,242992.54347506227,248905.2100569819,254924.0878367119,261047.06681644812,NGA,Nigeria
269141.9741706336,273495.54468276247,277798.79961666267,282052.3673291082,286261.60392841697,290434.66357994295,294577.9625179242,298691.63340885827,302775.1106110424,306833.21956680494,PAK,Pakistan
27483.197584702102,27365.852564181907,27241.651024631963,27110.71788239087,26972.90046193368,26828.046087735445,26676.168639389325,26517.295876081673,26351.899703980554,26180.694922134593,MDA,Republic of Moldova
20720.787238429974,21145.76670321717,21572.447254815474,22000.551194437776,22430.549592277923,22862.92805773327,23297.986098396217,23735.735345629553,24175.83703599142,24617.921873712563,RWA,Rwanda
13887.124651839113,14242.338845509868,14602.450648752168,14967.531357724358,15337.799225972409,15713.527797940606,16094.911319284849,16481.99489573799,16874.737059126273,17273.156724757035,SEN,Senegal
4244.131198113624,4325.5396188205405,4407.400384355471,4489.644278160678,4572.182586056533,4654.90027207384,4737.693511375999,4820.50137389458,4903.293638315645,4986.011811773499,SLE,Sierra Leone
