2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,,,code,country
5720.113764626382,6101.249441667076,6504.278147148711,6930.236070304071,7380.521639027979,7857.0779180800355,8361.74768499027,8896.00074170321,9460.923635388574,10057.915882593912,CAF,Central African Republic,CAF,Central African Republic
15654.360940022396,16796.445797304455,18008.000197273606,19293.14157090478,20656.038730429776,22101.175490182413,23633.28745738321,25257.380364882585,26978.793566234537,28803.206940487777,TCD,Chad,TCD,Chad
12264.532594746908,13104.7805513631,14005.778351626555,14972.304323553335,16009.743759939087,17124.01664532019,18321.52959078271,19609.397880380628,20995.28968103023,22487.380417312794,COG,Congo,COG,Congo
149370.04972128407,149393.04320201927,149397.81837183333,149385.03700697768,149348.13324895807,149279.17875876243,149172.1526701035,149024.26514192144,148836.47639858097,148611.16104898427,CUB,Cuba,CUB,Cuba
237319.97200646022,238167.8937962588,238976.0107854704,239741.44878549658,240458.3238442072,241119.59510336924,241720.1197538244,242257.80090326187,242732.68374332628,243144.62366075502,PRK,Dem. People's Republic of Korea,PRK,Dem. People's Republic of Korea
88000.91430069812,94824.17678411385,102084.02731953087,109805.30225248726,118015.8324856855,126745.27247794227,136024.64047548076,145886.29898401687,156363.76154532464,167491.95314260406,COD,Democratic Republic of the Congo,COD,Democratic Republic of the Congo
640.7726647802125,675.5665459706023,711.9537220108572,750.0144939889652,789.8185402110796,831.4510570892083,874.9969978205934,920.557285025591,968.2439860945865,1018.1565358803111,DJI,Djibouti,DJI,Djibouti
5265.141640685763,5608.157736483812,5970.446811475548,6352.89884293135,6756.858557563379,7183.817811473122,7635.355581966509,8112.958932162468,8618.072839399418,9152.307723306822,ERI,Eritrea,ERI,Eritrea
148602.3962252722,158260.65186220527,168429.7978235464,179135.1832075533,190404.020158351,202265.83294216936,214751.7922405432,227894.6972246546,241728.72781850322,256289.7942347035,ETH,Ethiopia,ETH,Ethiopia
1728.8485445418683,1849.3244360759822,1977.2797798370914,2113.1721472046943,2257.4862694289222,2410.7433830752652,2573.5023239299317,2746.375606631471,2929.9858141282202,3125.0275196662806,GMB,Gambia,GMB,Gambia
40840.7146892351,40674.63692913186,40510.492405506964,40341.74847861219,40169.10621222537,39993.45786933653,39815.6426020434,39635.894098271936,39454.690356052495,39272.477506880066,GEO,Georgia,GEO,Georgia
64317.13319433379,68339.82442347881,72614.21765365686,77159.4358218334,81997.09457295295,87151.16791606706,92647.93344152514,98515.90034533862,104786.1239580354,111492.93306273325,GHA,Ghana,GHA,Ghana
9821.527040162318,10502.277309815563,11224.082373770107,11989.02396996466,12799.604655828032,13658.562986150508,14568.774316025208,15533.224493368643,16555.06309036031,17637.68461400469,GIN,Guinea,GIN,Guinea
1649.158314037797,1757.7756128759768,1872.3626123220747,1993.2634388818362,2120.86464214073,2255.6167154545733,2397.976446978388,2548.394807022677,2707.3825331092403,2875.4665862892944,GNB,Guinea Bissau,GNB,Guinea Bissau
4995.526104781598,5178.633124377987,5200.101583143503,5220.081306524388,5238.565905098388,5255.644830777026,5271.158348004013,5285.310918291399,5297.891690704882,5308.9006652444605,GUY,Guyana,GUY,Guyana
37165.32671480795,39074.16833337442,41069.57947836195,43156.38527027111,45339.4967953197,47624.42111618172,50016.982846240455,52523.49817528461,55150.77781405412,57906.10174264653,HTI,Haiti,HTI,Haiti
65548.22834860718,69503.77777432074,72060.22893124659,73017.03370911899,73960.00772096608,74887.920205406,75799.60839892339,76694.41952200075,77571.74839362726,78430.92863471212,HND,Honduras,HND,Honduras
3571862.406464756,3756931.3628015257,3951630.5742500667,4156592.5743411193,4372492.519431497,4600063.890318995,4840121.657401046,5093598.217139097,5361527.4674550425,5645026.156568624,IND,India,IND,India
653964.2625350918,689292.2659534462,726721.141010341,742383.3069279674,747945.5611406376,753336.736422973,758559.3322631416,763613.7335925854,768497.135544193,773205.2782099998,IDN,Indonesia,IDN,Indonesia
