2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,,,code,country
10619.664853616025,11277.980452106967,11974.410891173748,12711.3269526027,13491.307775480056,14317.19703418581,15192.013187632565,16118.901111142182,17101.209422890544,18142.56932166953,CIV,Ivory Coast,CIV,Ivory Coast
55242.43078062712,58607.54609366467,62174.914243958694,65957.99512463779,69971.48652444666,74231.12021634879,78754.06305741823,83559.55955122846,88668.48809827761,94103.00348729694,KEN,Kenya,KEN,Kenya
5040.802949423223,5305.2231458916485,5584.55948390931,5757.7635974602545,5811.877211189019,5865.006448997608,5917.489584398107,5969.461081111571,6020.954766489213,6072.105104252084,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan
7764.377102350858,8151.649005951199,8557.629889084186,8983.15980943572,9429.514787104848,9898.109765111205,10390.497601587544,10908.329987681718,11453.448465072815,12027.870523003734,LAO,Lao People's Democratic Republic,LAO,Lao People's Democratic Republic
2008.2825840722821,2105.7368878133207,2207.6853910041505,2314.3878757687953,2426.2016566655375,2543.526879758602,2666.7933108868256,2796.435194595095,2932.8679337625986,3076.612728216709,LSO,Lesotho,LSO,Lesotho
2082.3026830871468,2214.276633936958,2353.507960265333,2500.3968824306303,2655.33855304953,2818.755995221044,2991.105737908343,3172.8647701873015,3364.549336117936,3566.7095211686988,LBR,Liberia,LBR,Liberia
24890.20019238526,26464.91420931092,28135.730762758263,29908.820082822764,31790.551640065016,33787.697017635706,35907.779742801606,38159.18220346985,40551.34747678424,43094.594147862466,MDG,Madagascar,MDG,Madagascar
15991.150931405626,17030.857288957883,18134.05148955165,19304.285267123603,20544.92647674829,21859.238064438687,23250.87884350144,24724.32709953851,26284.8093708775,27937.902144241045,MWI,Malawi,MWI,Malawi
6003.465494968356,6408.994699577859,6839.614290067977,7296.717011934105,7781.822233010411,8296.494021705987,8842.397414748673,9421.352846343623,10035.28663114927,10686.168627022267,MLI,Mali,MLI,Mali
1576.01730583363,1673.2318888322925,1775.8833266361546,1884.327570854053,1998.964974770447,2120.230706267529,2248.5991253249467,2384.5542508234944,2528.614905220707,2681.3417310014315,MRT,Mauritania,MRT,Mauritania
6506.25194108144,6574.943488369773,6640.956558107346,6704.38197889798,6765.465181224314,6824.449663045511,6881.636898025292,6937.113849720499,6991.0525127213305,7043.777550973338,MNG,Mongolia,MNG,Mongolia
14484.732365045671,15455.051150700823,16481.983863823592,17568.67056008613,18718.495665379374,19935.026430615337,21222.017573203713,22583.49324431602,24023.643521658632,25546.722521057833,MOZ,Mozambique,MOZ,Mozambique
46941.03043825188,49025.82347740118,51199.745067865726,53466.60162330104,55830.71058002707,58296.39670827457,60868.579744372786,63553.318201542235,66357.50374439123,69288.4280907272,MMR,Myanmar,MMR,Myanmar
21899.647541386348,22913.600963438315,23968.016283443398,25064.828826826903,26205.727974586094,27392.56756459172,28627.45212543076,29912.757962429456,31251.31071516627,32646.545789333082,NPL,Nepal,NPL,Nepal
13631.471313268254,14311.12444175864,15032.138261300288,15797.258335734641,16608.664367799996,17468.04926817686,17693.052023421562,17839.32624911334,17980.352541071887,18116.474902608898,NIC,Nicaragua,NIC,Nicaragua
7314.732778159072,7892.969173409547,8511.883382640272,9174.182898271396,9882.729465555758,10640.562319436618,11450.909411686034,12317.209358551161,13243.12176937161,14232.569943652034,NER,Niger,NER,Niger
